,fc
AC008105.1,-25.2651535079231
AC008105.2,-0.406278006046027
AC008105.3,-0.042344525147473
AC008115.3,0.0557353063879146
AC008124.1,0.0122903313547339
AC008132.1,0.075225267907813
AC008132.2,0.170521428218613
AC008264.2,-2.90624865146075
AC008267.1,-1.95973157235221
AC008267.3,0.0475476464434335
AC008267.5,0.530328936606985
AC008393.2,-1.08574331888968
AC008403.2,-0.919310217570711
AC008406.3,-2.91414885260219
AC008429.1,-0.573500541003519
AC008429.2,-0.527206744016337
AC008443.1,1.14499975968887
AC008443.4,-0.622190266470744
AC008443.5,0.171904907877998
AC008443.9,-0.937320343095322
AC008481.3,5.1289111597087
AC008532.1,0.756376122817405
AC008537.1,-0.999420548480678
AC008537.3,-2.21561872658181
AC008543.1,-0.177739011260118
AC008555.1,-2.60262346441603
AC008555.4,-0.155140088816168
AC008555.7,-0.430514622210848
AC008556.1,-0.0175984886873542
AC008581.2,3.57872924764737
AC008592.4,-3.34350465259216
AC008608.2,-0.35983795863556
AC008610.1,-0.499730899574948
AC008622.2,1.87831877332498
AC008655.2,0.583817753357124
AC008669.1,1.18001532455498
AC008674.1,-0.186768855575969
AC008687.1,1.00231847093511
AC008687.3,-2.76943613824755
AC008687.4,-0.438739318475983
AC008687.6,-1.41270673551185
AC008687.8,1.24743490071867
AC008735.4,1.88536702962013
AC008736.1,0.56201089707455
AC008738.7,-0.110662553784797
AC008749.1,-0.368539792626826
AC008750.1,-5.30244804414158
AC008750.8,0.399819718941188
AC008758.1,-8.64679349030829
AC008758.5,0.226894057218153
AC008763.2,-1.70889239141457
AC008764.1,1.3256421732178
AC008764.6,0.173073743304216
AC008764.8,1.42479817590627
AC008770.4,1.97683946762081
AC008771.1,0.507975407597406
AC008780.2,-1.55355080689679
AC008798.1,-2.08538981630292
AC008813.1,-4.46692077293586
AC008840.1,2.02323662362725
AC008870.2,-0.379687676097108
AC008870.3,-0.861465949283488
AC008875.1,0.492217428895023
AC008875.2,-0.691293173561131
AC008892.1,-4.92758821510964
AC008894.3,-1.02973735358012
AC008895.1,-0.0962821602483712
AC008897.3,-2.03907324377703
AC008906.1,-0.66935693427607
AC008915.2,-2.61721549793524
AC008915.3,-0.375247993446046
AC008937.3,0.35091806838378
AC008946.1,-0.0260120701223423
AC008953.1,-3.48311208183688
AC008966.1,1.84046028785789
AC008969.1,-0.504423145364932
AC008972.2,-1.07748403122602
AC008982.1,1.6747616836179
AC008993.1,0.665866895996503
AC008993.2,-1.28316708060895
AC009014.4,-1.21673761847679
AC009022.1,0.329626424486727
AC009053.2,-0.651818436839324
AC009053.3,-0.432956515597843
AC009061.2,0.453897270305598
AC009065.10,0.0665193087553145
AC009065.5,-0.358558906094905
AC009078.3,0.74645552857004
AC009084.1,0.0641114791227116
AC009086.2,-0.570902516010479
AC009090.4,-1.08818948052501
AC009090.5,-1.86663474216982
